Elemento&Coste/ud&Unidades&Coste Total\\ \hline
Portátil, 12 GB RAM, Intel i5&800.00&2&1600.00\\ \hline
Licencia Windows 10&259.00&1&259.00\\ \hline
Licencia Debian&0.00&1&0.00\\ \hline
Licencicia software código abierto&0.00&3&0.00\\ \hline
Licencia software Dirac&450.00&1&450.00\\ \hline
Auriculares TASCAM TH-02&30.00&1&30.00\\ \hline
Amplificador potencia Crown XLS 2002&585.00&1&585.00\\ \hline
Micrófono ominidireccional AKG-CK92&180.00&1&180.00\\ \hline
Micrófono bidireccional AKG-CK94&440.85&1&440.85\\ \hline
Tarjeta de sonido MOTU UltraLite-mk3 Hybrid&410.00&1&410.00\\ \hline
Fuente dodecaédrica AVM DO-12&&1&0.00\\ \hline
Alargaderas y cableado para conexionado de equipos&51.43&2&102.86\\ \hline
trípodes y sujecciones para los micrófonos&35.00&1&35.00\\ \hline
Micrófonos biaurales Roland CS-10EM&99.99&1&99.99\\ \hline
Grabadora portátil Yamaha pr7&663.35&1&663.35\\ \hline
Suscripción a artículos o norma&27.00&50&1350.00\\ \hline
Hora de trabajo Ing. Junior&9.75&268&2613.00\\ \hline
Hora de trabajo Ing. Senior x2&12.50&90&1125.00\\ \hline
Alquiler auditorio ETSIST UPM&&1&0.00\\ \hline
Alquiler laboratorio CITSEM&&1&0.00\\ \hline
-&-&Total&9944.05\\ \hline
