archivo1&archivo2&respuesta&seguridad\\ \hline
F15B25.wav&F15B6REPE.wav&0&1\\ \hline
F15B25.wav&F15B6REPE.wav&1&1\\ \hline
F15B25.wav&F15B6REPE.wav&0&1\\ \hline
F15B25.wav&F15B6REPE.wav&0&1\\ \hline
F15B25.wav&F15B6REPE.wav&0&0\\ \hline
F15B25.wav&F1B27.wav&0&1\\ \hline
F15B25.wav&F1B27.wav&0&1\\ \hline
F15B25.wav&F1B28.wav&0&1\\ \hline
F15B25.wav&F1B28.wav&1&1\\ \hline
F15B25.wav&F1B8.wav&0&1\\ \hline
F15B26REPE.wav&F15B26REPE.wav&1&1\\ \hline
F15B26REPE.wav&F15B5.wav&1&1\\ \hline
F15B26REPE.wav&F15B6REPE.wav&1&0\\ \hline
F15B26REPE.wav&F1B2.wav&0&0\\ \hline
F15B26REPE.wav&F1B27.wav&0&0\\ \hline
F15B26REPE.wav&F1B27.wav&0&1\\ \hline
F15B26REPE.wav&F1B28.wav&1&1\\ \hline
F15B26REPE.wav&F1B8.wav&0&1\\ \hline
F15B26REPE.wav&F1B8.wav&0&1\\ \hline
F15B5.wav&F15B25.wav&1&1\\ \hline
F15B5.wav&F15B25.wav&0&1\\ \hline
F15B5.wav&F15B26REPE.wav&0&1\\ \hline
F15B5.wav&F1B2.wav&0&1\\ \hline
F15B5.wav&F1B27.wav&1&1\\ \hline
F15B5.wav&F1B28.wav&0&1\\ \hline
F15B5.wav&F1B8.wav&0&0\\ \hline
F15B6REPE.wav&F15B25.wav&0&0\\ \hline
F15B6REPE.wav&F15B26REPE.wav&1&0\\ \hline
F15B6REPE.wav&F15B26REPE.wav&0&1\\ \hline
F15B6REPE.wav&F15B6REPE.wav&1&1\\ \hline
F15B6REPE.wav&F1B28.wav&0&1\\ \hline
F15B6REPE.wav&F1B28.wav&0&1\\ \hline
F1B2.wav&F15B25.wav&0&1\\ \hline
F1B2.wav&F15B25.wav&0&1\\ \hline
F1B2.wav&F15B26REPE.wav&0&1\\ \hline
F1B2.wav&F15B6REPE.wav&0&1\\ \hline
F1B2.wav&F1B2.wav&1&1\\ \hline
F1B2.wav&F1B2.wav&1&1\\ \hline
F1B2.wav&F1B27.wav&0&1\\ \hline
F1B2.wav&F1B27.wav&0&1\\ \hline
F1B27.wav&F15B25.wav&0&1\\ \hline
F1B27.wav&F15B26REPE.wav&0&1\\ \hline
F1B27.wav&F15B26REPE.wav&1&0\\ \hline
F1B27.wav&F15B5.wav&1&1\\ \hline
F1B27.wav&F15B6REPE.wav&0&1\\ \hline
F1B27.wav&F1B27.wav&1&1\\ \hline
F1B27.wav&F1B27.wav&1&1\\ \hline
F1B27.wav&F1B28.wav&1&1\\ \hline
F1B27.wav&F1B28.wav&1&1\\ \hline
F1B27.wav&F1B8.wav&0&1\\ \hline
F1B27.wav&F1B8.wav&1&1\\ \hline
F1B28.wav&F15B26REPE.wav&0&1\\ \hline
F1B28.wav&F15B26REPE.wav&0&1\\ \hline
F1B28.wav&F15B5.wav&0&1\\ \hline
F1B28.wav&F15B5.wav&0&1\\ \hline
F1B28.wav&F1B2.wav&0&1\\ \hline
F1B28.wav&F1B27.wav&0&1\\ \hline
F1B28.wav&F1B27.wav&1&1\\ \hline
F1B28.wav&F1B8.wav&0&1\\ \hline
F1B8.wav&F15B25.wav&0&1\\ \hline
F1B8.wav&F15B6REPE.wav&0&1\\ \hline
F1B8.wav&F1B27.wav&0&1\\ \hline
F1B8.wav&F1B27.wav&0&1\\ \hline
F1B8.wav&F1B27.wav&0&1\\ \hline
F1B8.wav&F1B28.wav&0&1\\ \hline
F1B8.wav&F1B8.wav&1&1\\ \hline
F1B8.wav&F1B8.wav&1&0\\ \hline
F1B8.wav&F1B8.wav&0&1\\ \hline
F1B8.wav&F1B8.wav&1&1\\ \hline
F1B8.wav&F1B8.wav&1&1\\ \hline
